"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.08829875777827e-225,3.65224637357831,0.382,0.06,2.21958531648877e-221,"0","SPP1"
0,3.21269007251193,0.706,0.177,0,"0","CHIT1"
0,3.1682706604795,0.925,0.226,0,"0","GPNMB"
2.90042760093965e-201,3.0946861909364,0.347,0.053,5.91542209211642e-197,"0","PLA2G7"
9.9169262898871e-199,3.09163179917604,0.34,0.051,2.02255711682248e-194,"0","NPL"
0,3.02282689337624,0.941,0.341,0,"0","APOE"
4.00275753939516e-232,2.86352608464732,0.502,0.127,8.16362400159643e-228,"0","LGMN"
0,2.78120408152779,0.96,0.361,0,"0","APOC1"
0,2.63921617577113,0.706,0.197,0,"0","CTSL"
6.55087165888901e-226,2.57370517375397,0.479,0.109,1.33605027483041e-221,"0","ABCA1"
0,5.05057283796493,0.422,0.02,0,"1","HSD17B6"
1.82563062211033e-270,5.0338952982055,0.308,0.015,3.72337365379402e-266,"1","C1orf116"
0,4.98293387685368,0.574,0.038,0,"1","C4BPA"
0,4.93643665469633,0.56,0.032,0,"1","LMO3"
5.79440189442614e-318,4.80073825312439,0.349,0.015,1.18176826636821e-313,"1","FOXQ1"
1.06591088292419e-212,4.75387608052209,0.252,0.014,2.17392524572389e-208,"1","AQP4"
0,4.73340931620193,0.855,0.082,0,"1","NAPSA"
0,4.64948037933009,0.853,0.076,0,"1","SLC34A2"
0,4.64379864910662,0.686,0.047,0,"1","ADGRF5"
2.09192253432158e-281,4.64227652808186,0.333,0.019,4.26647600874886e-277,"1","CEACAM5"
1.38464137660559e-127,3.70157509265186,0.252,0.043,2.82397608758711e-123,"2","S100B"
2.66220695999097e-149,3.47087140972922,0.274,0.043,5.42957109490159e-145,"2","CLEC10A"
4.85715498546696e-13,2.71609654968745,0.278,0.216,9.90616759285987e-09,"2","S100A8"
5.6326425193329e-142,2.67886129140612,0.437,0.139,1.14877744181795e-137,"2","IL1B"
2.29563975738926e-114,2.60521142655809,0.32,0.086,4.68195728519539e-110,"2","SERPINB9"
6.48414623524555e-60,2.53564565246854,0.365,0.185,1.32244162467833e-55,"2","THBS1"
1.17522067170615e-76,2.4706557130427,0.26,0.08,2.3968625599447e-72,"2","NLRP3"
1.03493849285778e-82,2.30596432081026,0.293,0.097,2.11075705618344e-78,"2","IFI30"
1.68687668526557e-93,2.30384927142047,0.281,0.077,3.44038499959914e-89,"2","GRASP"
6.58343288747387e-128,2.23828287914794,0.441,0.156,1.3426911374003e-123,"2","FGL2"
0,5.27706322280736,0.421,0.019,0,"3","FABP4"
0,4.60094384887471,0.698,0.046,0,"3","RETN"
0,4.32002419342908,0.719,0.046,0,"3","MCEMP1"
0,4.22083586789617,0.577,0.048,0,"3","INHBA"
0,3.46302531750905,0.85,0.141,0,"3","MARCO"
2.14128374404468e-180,3.25201073394896,0.355,0.042,4.36714819597913e-176,"3","PPARG"
6.61979028972847e-180,2.79276750097864,0.44,0.071,1.35010622959012e-175,"3","PNPLA6"
6.55748714449136e-145,2.73160382405334,0.372,0.062,1.33739950311901e-140,"3","ARRDC4"
4.39109207704135e-302,2.65505380633467,0.759,0.147,8.95563229112584e-298,"3","SLC11A1"
0,2.52751093923055,0.935,0.266,0,"3","MRC1"
6.30066858875176e-162,4.34358956887216,0.425,0.063,1.28502135867592e-157,"4","CD3D"
4.58869820876413e-104,4.19617623450915,0.275,0.038,9.35864999677445e-100,"4","CD3G"
7.0898047107763e-99,4.14951872829147,0.252,0.033,1.44596567076283e-94,"4","TRBC1"
2.63270536910803e-153,4.08180748570238,0.407,0.061,5.36940260029583e-149,"4","CD2"
2.07196953097067e-112,4.04590495349654,0.307,0.045,4.22578185841468e-108,"4","TRBC2"
2.75187729798089e-96,4.01181089065873,0.257,0.036,5.61245374923202e-92,"4","CD3E"
3.91107931993897e-84,3.99929835587026,0.257,0.042,7.97664627301552e-80,"4","KLRB1"
3.85680121494002e-141,3.89414215644136,0.493,0.107,7.86594607787016e-137,"4","IL32"
1.71731208692887e-78,3.8604036542185,0.264,0.048,3.50245800129142e-74,"4","TRAC"
6.00569501990338e-65,3.561064586985,0.311,0.08,1.22486149930929e-60,"4","CCL5"
0,7.55446689733926,0.381,0.002,0,"5","UBE2C"
2.33126851252776e-318,7.39444260405344,0.317,0.003,4.75462213130036e-314,"5","ASPM"
1.1861568021337e-307,7.10934064527816,0.302,0.003,2.41916679795168e-303,"5","DLGAP5"
0,6.84091919304122,0.36,0.004,0,"5","RRM2"
0,6.78505436025635,0.339,0.003,0,"5","CEP55"
6.16951431310346e-276,6.71733641212281,0.296,0.004,1.25827244415745e-271,"5","BIRC5"
0,6.66445210193902,0.561,0.007,0,"5","MKI67"
0,6.49187365366586,0.571,0.01,0,"5","TOP2A"
0,6.38019568696619,0.381,0.005,0,"5","TPX2"
1.43606076288918e-234,6.30616268381369,0.265,0.004,2.92884592591249e-230,"5","CDKN3"
1.27694162294021e-28,1.75276897921664,0.335,0.08,2.60432243998656e-24,"6","CEACAM5"
5.01157261093052e-19,1.50388196531174,0.329,0.1,1.02211023399928e-14,"6","MMP7"
3.9548810631387e-19,1.37947703918859,0.267,0.071,8.06597992827137e-15,"6","IRX2"
2.63385683649731e-23,1.37553021059004,0.41,0.127,5.37175101803626e-19,"6","RDH10"
3.55126524351471e-16,1.30166585586776,0.28,0.086,7.24280546414825e-12,"6","SERPINH1"
1.47570508967043e-33,1.25851852128054,0.484,0.128,3.00970053038285e-29,"6","STEAP4"
2.05503824754137e-16,1.24870755500574,0.28,0.085,4.19125050586063e-12,"6","ENAH"
1.97415240734068e-40,1.24577121706298,0.733,0.238,4.02628383477131e-36,"6","MUC1"
2.65371354313046e-36,1.20245438859161,0.658,0.205,5.41224877121457e-32,"6","CEACAM6"
8.3926319376723e-21,1.19485546157505,0.385,0.12,1.71167728368827e-16,"6","MAL2"
0,11.7949745233232,0.369,0,0,"7","ADGRL4"
0,11.4817568012343,0.295,0,0,"7","RAMP3"
0,11.1094373477275,0.517,0.001,0,"7","ACKR1"
0,10.6883253494764,0.362,0.001,0,"7","CLEC14A"
0,9.98849239608025,0.289,0.001,0,"7","MMRN2"
0,9.86392517989465,0.772,0.004,0,"7","VWF"
0,9.80821179905818,0.315,0.001,0,"7","EMCN"
0,9.7808527780833,0.302,0.001,0,"7","CDH5"
1.23516411460312e-321,9.65329944019147,0.282,0.001,2.51911721173306e-317,"7","PLVAP"
0,9.65261028073636,0.53,0.002,0,"7","CLDN5"
0,8.87030461640902,0.991,0.009,0,"8","CPA3"
0,8.85039740664726,0.965,0.01,0,"8","TPSAB1"
0,8.793709133166,0.939,0.008,0,"8","TPSB2"
0,8.68883371948072,0.443,0.004,0,"8","IL1RL1"
0,8.29644152566123,0.435,0.004,0,"8","SLC18A2"
0,8.05316259690426,0.643,0.007,0,"8","MS4A2"
0,7.76500557948535,0.6,0.009,0,"8","KIT"
3.00536093499762e-297,7.50299121690169,0.461,0.009,6.12943362692765e-293,"8","GATA2"
1.25841012146818e-230,6.27131738031034,0.73,0.045,2.56652744273435e-226,"8","HPGDS"
1.50252844041173e-229,5.75552265134312,0.739,0.046,3.06440675421971e-225,"8","LTC4S"
0,13.769167058762,0.473,0.001,0,"9","SFRP2"
0,12.764372492223,0.301,0,0,"9","PLA2G2A"
0,12.2664082724637,0.86,0.001,0,"9","LUM"
0,12.1879226737749,0.903,0.002,0,"9","DCN"
0,11.9854541018726,0.774,0.002,0,"9","FBLN1"
0,11.9406339023975,0.323,0,0,"9","HTRA3"
0,11.4972997576421,0.613,0.001,0,"9","COL3A1"
0,11.4831055089933,0.301,0,0,"9","SFRP4"
0,11.4553865907862,0.473,0.001,0,"9","ADH1B"
0,11.4307334341843,0.871,0.002,0,"9","COL1A2"
1.94878368320922e-88,10.4053138453509,0.286,0.013,3.9745443219052e-84,"10","IGLC3"
2.59789597896244e-319,9.7547738426071,0.319,0.001,5.2984088490939e-315,"10","IGHGP"
1.49020272382928e-80,9.54769744127849,0.374,0.027,3.03926845524982e-76,"10","IGLC2"
5.64199681495361e-246,9.06664526469675,0.495,0.012,1.15068525040979e-241,"10","IGHG1"
0,8.35346621624561,0.868,0.026,0,"10","JCHAIN"
3.78126691371324e-95,8.15215755590605,0.736,0.107,7.71189387051815e-91,"10","IGKC"
2.07128921711842e-88,8.09486125416591,0.363,0.023,4.22439435831302e-84,"10","IGHA1"
0,7.86480174368762,0.857,0.007,0,"10","MZB1"
1.11024381773116e-69,7.83389314112102,0.407,0.038,2.2643422662627e-65,"10","IGHM"
9.5719495535558e-256,7.51572342797493,0.308,0.003,1.9521991114477e-251,"10","TNFRSF17"
0,9.91813246926094,0.36,0.001,0,"11","SERPINB3"
0,9.49705050611135,0.52,0.002,0,"11","MUC5B"
3.60576892972936e-200,9.23719518533452,0.307,0.004,7.35396573218303e-196,"11","BPIFA1"
7.67436576857302e-252,8.69002707098039,0.427,0.006,1.56518689850047e-247,"11","MUC5AC"
0,8.49745123630066,0.853,0.021,0,"11","BPIFB1"
0,8.44781129921121,0.44,0.002,0,"11","CYP2F1"
3.82048099968154e-166,8.44019648824884,0.92,0.078,7.7918709988505e-162,"11","SCGB1A1"
0,8.43593779361072,0.52,0.007,0,"11","MSMB"
2.68183549673224e-303,7.97813300543719,0.347,0.002,5.46960349558541e-299,"11","KLK11"
0,7.53745936236928,0.52,0.003,0,"11","CXCL6"
0,12.2443829315407,0.282,0,0,"12","TUBA4B"
0,12.0846799885568,0.563,0,0,"12","C9orf135"
0,11.9844912396369,0.465,0,0,"12","FAM216B"
0,11.8501633684471,0.465,0,0,"12","DNAH9"
0,10.8545661377121,0.31,0,0,"12","DYDC2"
0,10.8337766004088,0.296,0,0,"12","CATSPERD"
0,10.6862429880079,0.479,0,0,"12","RIIAD1"
0,10.3902467053201,0.282,0,0,"12","DNAH10"
0,10.2508549248721,0.282,0,0,"12","ARMC4"
0,10.1027716591716,0.408,0,0,"12","CCDC33"
